case_id,arm,common_input_sha256,normalized_request_sha256,common_input_equal,normalized_request_equal,oracle_disposition,materialized_state_sha256,oracle_state_equal,validator_accepts_oracle,hidden_answer_leakage_pass,arm_specific_information_pass
X16-CV01,compact_tx,1420b16fe3a42e96a29193b7d44776f500ec6e120dda62fc02b795b3de4edffe,68080da09795a4b0a3192a446a04286a2a486c6eb5c90b4687c534c60866bf0c,True,True,APPLY,419aa2f53941082ad038d4ce1ced7c914fe04b73605581c9d2d6c5d57b29d1a9,True,True,True,True
X16-CV01,fsr_pc,1420b16fe3a42e96a29193b7d44776f500ec6e120dda62fc02b795b3de4edffe,68080da09795a4b0a3192a446a04286a2a486c6eb5c90b4687c534c60866bf0c,True,True,APPLY,419aa2f53941082ad038d4ce1ced7c914fe04b73605581c9d2d6c5d57b29d1a9,True,True,True,True
X16-CV02,cope,8565fb3c533df3dcff91533bb152ba356eb0694a80bef165744ab9fd47d58206,db06c55c8e1a5304f13170a48deadae0ebc6b193705306e3d44f3ef0d2874260,True,True,APPLY,34713d1fa5f57e6e3278b5f2daade3c2a06897eca628796e75a0d031070d2e30,True,True,True,True
X16-CV02,compact_tx,8565fb3c533df3dcff91533bb152ba356eb0694a80bef165744ab9fd47d58206,db06c55c8e1a5304f13170a48deadae0ebc6b193705306e3d44f3ef0d2874260,True,True,APPLY,34713d1fa5f57e6e3278b5f2daade3c2a06897eca628796e75a0d031070d2e30,True,True,True,True
X16-CV02,fsr_pc,8565fb3c533df3dcff91533bb152ba356eb0694a80bef165744ab9fd47d58206,db06c55c8e1a5304f13170a48deadae0ebc6b193705306e3d44f3ef0d2874260,True,True,APPLY,34713d1fa5f57e6e3278b5f2daade3c2a06897eca628796e75a0d031070d2e30,True,True,True,True
X16-M01,cope,0f67f8d0103f826dcc6296749e1fa6fef0179e69b9ea259e674b8242aa9963df,8b7cb2e7c03ad69674156e4ee768dd0b2b0f32b18591b183bf63ae534bbb03f1,True,True,APPLY,d394a0fc52692d617532255c04ac27072ac04871a808459a9214b8c13dcf945b,True,True,True,True
X16-M01,compact_tx,0f67f8d0103f826dcc6296749e1fa6fef0179e69b9ea259e674b8242aa9963df,8b7cb2e7c03ad69674156e4ee768dd0b2b0f32b18591b183bf63ae534bbb03f1,True,True,APPLY,d394a0fc52692d617532255c04ac27072ac04871a808459a9214b8c13dcf945b,True,True,True,True
X16-M01,fsr_pc,0f67f8d0103f826dcc6296749e1fa6fef0179e69b9ea259e674b8242aa9963df,8b7cb2e7c03ad69674156e4ee768dd0b2b0f32b18591b183bf63ae534bbb03f1,True,True,APPLY,d394a0fc52692d617532255c04ac27072ac04871a808459a9214b8c13dcf945b,True,True,True,True
X16-M02,cope,25ccd7efb818cf37dd6732b436f9547676cf369caf2a51d2068332b449821d8f,77ea71ecd75b9e467fc49237639ea96e1b9ab0d3322f629c990ec14d89c6a7c2,True,True,APPLY,af7a2ae69509ffdcc9d7a91e9a715ff981f310d3da0dd1ae4a73d036dd8289a7,True,True,True,True
X16-M02,compact_tx,25ccd7efb818cf37dd6732b436f9547676cf369caf2a51d2068332b449821d8f,77ea71ecd75b9e467fc49237639ea96e1b9ab0d3322f629c990ec14d89c6a7c2,True,True,APPLY,af7a2ae69509ffdcc9d7a91e9a715ff981f310d3da0dd1ae4a73d036dd8289a7,True,True,True,True
X16-M02,fsr_pc,25ccd7efb818cf37dd6732b436f9547676cf369caf2a51d2068332b449821d8f,77ea71ecd75b9e467fc49237639ea96e1b9ab0d3322f629c990ec14d89c6a7c2,True,True,APPLY,af7a2ae69509ffdcc9d7a91e9a715ff981f310d3da0dd1ae4a73d036dd8289a7,True,True,True,True
X16-PP01,cope,428b7e6d6eabe1c9901042efaae12d9f2b1c01aa837f1bab04122791f3c71c7f,86d1a7f177b35bbed192477dc49403f64744707a361bf1b3d95c92b344b177b8,True,True,APPLY,db7d634da2a0c2ec741083d131cce3ee56354784020e71e93d030fd170014020,True,True,True,True
X16-PP01,compact_tx,428b7e6d6eabe1c9901042efaae12d9f2b1c01aa837f1bab04122791f3c71c7f,86d1a7f177b35bbed192477dc49403f64744707a361bf1b3d95c92b344b177b8,True,True,APPLY,db7d634da2a0c2ec741083d131cce3ee56354784020e71e93d030fd170014020,True,True,True,True
X16-PP01,fsr_pc,428b7e6d6eabe1c9901042efaae12d9f2b1c01aa837f1bab04122791f3c71c7f,86d1a7f177b35bbed192477dc49403f64744707a361bf1b3d95c92b344b177b8,True,True,APPLY,db7d634da2a0c2ec741083d131cce3ee56354784020e71e93d030fd170014020,True,True,True,True
X16-PP02,cope,5136d632e0562477c415d4525e0e7f4de3500aeb3f0196673017bf0df3efaeb9,b181ca75b00a81dccba012b9d7cc63af8b9a11fbb1d555aef23d178a66241efd,True,True,APPLY,abe660c7e907b3d32d264d2bfa7907b2e931d8ca000ba3b9e6cdd5db777f0457,True,True,True,True
X16-PP02,compact_tx,5136d632e0562477c415d4525e0e7f4de3500aeb3f0196673017bf0df3efaeb9,b181ca75b00a81dccba012b9d7cc63af8b9a11fbb1d555aef23d178a66241efd,True,True,APPLY,abe660c7e907b3d32d264d2bfa7907b2e931d8ca000ba3b9e6cdd5db777f0457,True,True,True,True
X16-PP02,fsr_pc,5136d632e0562477c415d4525e0e7f4de3500aeb3f0196673017bf0df3efaeb9,b181ca75b00a81dccba012b9d7cc63af8b9a11fbb1d555aef23d178a66241efd,True,True,APPLY,abe660c7e907b3d32d264d2bfa7907b2e931d8ca000ba3b9e6cdd5db777f0457,True,True,True,True
X16-E01,cope,7fefc24a73f54d6cfb41796660611bb8a344ad4c2f1c102b8e2d6b53d8d7ab18,ed67c285eeed63242682b3366b234021b769d2147cbd18bac03aa3f921b115f2,True,True,APPLY,106c37eb0d34bd209c1cf4942ceb4818d029de3f3b898436158ae2937900318f,True,True,True,True
X16-E01,compact_tx,7fefc24a73f54d6cfb41796660611bb8a344ad4c2f1c102b8e2d6b53d8d7ab18,ed67c285eeed63242682b3366b234021b769d2147cbd18bac03aa3f921b115f2,True,True,APPLY,106c37eb0d34bd209c1cf4942ceb4818d029de3f3b898436158ae2937900318f,True,True,True,True
X16-E01,fsr_pc,7fefc24a73f54d6cfb41796660611bb8a344ad4c2f1c102b8e2d6b53d8d7ab18,ed67c285eeed63242682b3366b234021b769d2147cbd18bac03aa3f921b115f2,True,True,APPLY,106c37eb0d34bd209c1cf4942ceb4818d029de3f3b898436158ae2937900318f,True,True,True,True
X16-E02,cope,3dce4e4f4d9ea798c3ed4d9941201241e3516a7978269cef2bc04693210c1ed0,079050800f204200637e6fcb9d26e32dbfd26589a76df58713088e8ae216319a,True,True,ABSTAIN,47693b683146ff7c9a53145c62dd3d4c0b12ed5b0219320b01ef807145205024,True,True,True,True
X16-E02,compact_tx,3dce4e4f4d9ea798c3ed4d9941201241e3516a7978269cef2bc04693210c1ed0,079050800f204200637e6fcb9d26e32dbfd26589a76df58713088e8ae216319a,True,True,ABSTAIN,47693b683146ff7c9a53145c62dd3d4c0b12ed5b0219320b01ef807145205024,True,True,True,True
X16-E02,fsr_pc,3dce4e4f4d9ea798c3ed4d9941201241e3516a7978269cef2bc04693210c1ed0,079050800f204200637e6fcb9d26e32dbfd26589a76df58713088e8ae216319a,True,True,ABSTAIN,47693b683146ff7c9a53145c62dd3d4c0b12ed5b0219320b01ef807145205024,True,True,True,True
