case_id,arm,recurrence_depth,input_sha256,normalized_request_sha256,output_contract_sha256,oracle_candidate_sha256,oracle_proposal_bytes,wire_bytes
occurrence-v3-h02-d1,neutral_patch,1,678d06b7fac6fd81dc1b87ee7af2c94ac9aed38dfa0b619957e609a0210c5864,caaebb9d2c52cb781930e210c097707b1b18ae7521ce9cd3febd460bc52590c8,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,71fabdd9945101110e48237bda2fa30f1cea5ab0108efa07451e285b9189222d,1737,7602
occurrence-v3-h02-d1,governed_delta,1,678d06b7fac6fd81dc1b87ee7af2c94ac9aed38dfa0b619957e609a0210c5864,caaebb9d2c52cb781930e210c097707b1b18ae7521ce9cd3febd460bc52590c8,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,71fabdd9945101110e48237bda2fa30f1cea5ab0108efa07451e285b9189222d,1998,7201
occurrence-v3-h02-d2,full_replan,2,5a9944836cf640f1c828b0a7cc39675878553bf9f57e39b9abbbb15de44668e4,7a4c5767183bb81b86547aa7021abf5a1c9513102732b00491c96c80cc664209,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,e54eaed07cae10a58833dc68f1e9aa4029eab267c59fb8485b16052e7396bb25,507,7361
occurrence-v3-h02-d2,cope,2,5a9944836cf640f1c828b0a7cc39675878553bf9f57e39b9abbbb15de44668e4,7a4c5767183bb81b86547aa7021abf5a1c9513102732b00491c96c80cc664209,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,e54eaed07cae10a58833dc68f1e9aa4029eab267c59fb8485b16052e7396bb25,281,7106
occurrence-v3-h02-d2,neutral_patch,2,5a9944836cf640f1c828b0a7cc39675878553bf9f57e39b9abbbb15de44668e4,7a4c5767183bb81b86547aa7021abf5a1c9513102732b00491c96c80cc664209,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,e54eaed07cae10a58833dc68f1e9aa4029eab267c59fb8485b16052e7396bb25,1737,8764
occurrence-v3-h02-d2,governed_delta,2,5a9944836cf640f1c828b0a7cc39675878553bf9f57e39b9abbbb15de44668e4,7a4c5767183bb81b86547aa7021abf5a1c9513102732b00491c96c80cc664209,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,e54eaed07cae10a58833dc68f1e9aa4029eab267c59fb8485b16052e7396bb25,1998,8363
occurrence-v3-h02-d2,fsr_pc,2,5a9944836cf640f1c828b0a7cc39675878553bf9f57e39b9abbbb15de44668e4,7a4c5767183bb81b86547aa7021abf5a1c9513102732b00491c96c80cc664209,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,e54eaed07cae10a58833dc68f1e9aa4029eab267c59fb8485b16052e7396bb25,3857,7704
occurrence-v3-h02-d3,cope,3,8358bee48cfd614932a7b81c354d5f682d724ff532977fb38ae1f878ee6fbbc7,3eef0905bb24595f0afd60f654ccfa1b5fa1e01164c8c1411477228f894f9456,d8609008349c9edf3c1671eb42d592c610778c70d8011052d37dddb60b2de99c,1451c0b254430e465e42c1f96a7fa45372df7b7290a79953b9c410669daaf7d4,281,8268
occurrence-v3-h02-d3,neutral_patch,3,8358bee48cfd614932a7b81c354d5f682d724ff532977fb38ae1f878ee6fbbc7,3eef0905bb24595f0afd60f654ccfa1b5fa1e01164c8c1411477228f894f9456,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,1451c0b254430e465e42c1f96a7fa45372df7b7290a79953b9c410669daaf7d4,1737,9926
occurrence-v3-h02-d3,governed_delta,3,8358bee48cfd614932a7b81c354d5f682d724ff532977fb38ae1f878ee6fbbc7,3eef0905bb24595f0afd60f654ccfa1b5fa1e01164c8c1411477228f894f9456,5d43dfdd05f9d41a241a9ff18e3e76c49c133edadffca6aebf1d4b6807ad1199,1451c0b254430e465e42c1f96a7fa45372df7b7290a79953b9c410669daaf7d4,1998,9525
occurrence-v3-h02-d3,fsr_pc,3,8358bee48cfd614932a7b81c354d5f682d724ff532977fb38ae1f878ee6fbbc7,3eef0905bb24595f0afd60f654ccfa1b5fa1e01164c8c1411477228f894f9456,124878e813078a42f1eb1998ac5b1af82b0899bef445cedef6d25fd757191c4b,1451c0b254430e465e42c1f96a7fa45372df7b7290a79953b9c410669daaf7d4,4911,8866
occurrence-v3-h02-d3,full_replan,3,8358bee48cfd614932a7b81c354d5f682d724ff532977fb38ae1f878ee6fbbc7,3eef0905bb24595f0afd60f654ccfa1b5fa1e01164c8c1411477228f894f9456,3ffc4f83a689b0b4a1356e8a171986cf561362b4882d260e45b8c2447dd90204,1451c0b254430e465e42c1f96a7fa45372df7b7290a79953b9c410669daaf7d4,600,8523
occurrence-v3-h02-d4,neutral_patch,4,39400a210606614037b55dd095e20ce7a5f76207886256f3f4e85a87db681aa6,d8a7c4ffc7973709a7c85f43861cba86d23643947df416512d3c3fcbb6376ad7,734bc9dbc2a1b5fb43256516b02f2d0c10d0754fcdaefab3a1efdf9efcedaabe,c6a72e461f38abdcfbfa894bbacfd2b1a0d0cb4e10eeec857fda69ec564a9150,1737,11088
