case_id,family,arm,oracle_accepted,semantic_state_sha256,transaction_meta_sha256,common_input_sha256,rule_clause_count
SCE-S32-26,scale_32_subgoal_insert_commitment,cope_semantic,True,f4ab765267a2e34972343c4b3be2ae9a0a5a98c2cbfec581f01bca6de715dbc9,09d1b015ebd6a68463da307fa47e000b8f81dd5172b66a5787a69c8af9aa4725,4f76855b17e672c19c6ad2467d5a1bc4d317244cff18f50deaf17336f9187c02,2
SCE-S32-26,scale_32_subgoal_insert_commitment,neutral_typed,True,f4ab765267a2e34972343c4b3be2ae9a0a5a98c2cbfec581f01bca6de715dbc9,09d1b015ebd6a68463da307fa47e000b8f81dd5172b66a5787a69c8af9aa4725,4f76855b17e672c19c6ad2467d5a1bc4d317244cff18f50deaf17336f9187c02,2
SCE-S32-26,scale_32_subgoal_insert_commitment,compact_semantic,True,f4ab765267a2e34972343c4b3be2ae9a0a5a98c2cbfec581f01bca6de715dbc9,09d1b015ebd6a68463da307fa47e000b8f81dd5172b66a5787a69c8af9aa4725,4f76855b17e672c19c6ad2467d5a1bc4d317244cff18f50deaf17336f9187c02,2
SCE-S32-26,scale_32_subgoal_insert_commitment,fsr_semantic,True,f4ab765267a2e34972343c4b3be2ae9a0a5a98c2cbfec581f01bca6de715dbc9,09d1b015ebd6a68463da307fa47e000b8f81dd5172b66a5787a69c8af9aa4725,4f76855b17e672c19c6ad2467d5a1bc4d317244cff18f50deaf17336f9187c02,2
SCE-S32-27,scale_32_subgoal_insert_action,cope_semantic,True,eec82a9e4f91a4357f0b6e0f2210bd20b306879c9905998cb35181c355f84000,64f8876015f1636ac2251dbfa615fecdae5b6c2fe2f8a1e99a2235c7d7af3985,c550152977d2ace5fc75ba292f01d1ec545457c3831556e6dee98a5b212d6588,3
SCE-S32-27,scale_32_subgoal_insert_action,neutral_typed,True,eec82a9e4f91a4357f0b6e0f2210bd20b306879c9905998cb35181c355f84000,64f8876015f1636ac2251dbfa615fecdae5b6c2fe2f8a1e99a2235c7d7af3985,c550152977d2ace5fc75ba292f01d1ec545457c3831556e6dee98a5b212d6588,3
SCE-S32-27,scale_32_subgoal_insert_action,compact_semantic,True,eec82a9e4f91a4357f0b6e0f2210bd20b306879c9905998cb35181c355f84000,64f8876015f1636ac2251dbfa615fecdae5b6c2fe2f8a1e99a2235c7d7af3985,c550152977d2ace5fc75ba292f01d1ec545457c3831556e6dee98a5b212d6588,3
SCE-S32-27,scale_32_subgoal_insert_action,fsr_semantic,True,eec82a9e4f91a4357f0b6e0f2210bd20b306879c9905998cb35181c355f84000,64f8876015f1636ac2251dbfa615fecdae5b6c2fe2f8a1e99a2235c7d7af3985,c550152977d2ace5fc75ba292f01d1ec545457c3831556e6dee98a5b212d6588,3
SCE-S32-28,scale_32_subgoal_insert_full_bundle,cope_semantic,True,03c965b2513b8cac1bdc79c243a83588a29de7ed67c91980de8e6091d1e9630c,9de9a73daac597c52f283cbd56e100d3133170d8cc3a3c4f707d5d28f911e310,12dc2b60f18750fac9c3ede07422893d57e65d28bdbe77caee8ac9864695cc4f,4
SCE-S32-28,scale_32_subgoal_insert_full_bundle,neutral_typed,True,03c965b2513b8cac1bdc79c243a83588a29de7ed67c91980de8e6091d1e9630c,9de9a73daac597c52f283cbd56e100d3133170d8cc3a3c4f707d5d28f911e310,12dc2b60f18750fac9c3ede07422893d57e65d28bdbe77caee8ac9864695cc4f,4
