duplicate_group_id,task_id,initial_state_identity,action_trajectory_sha256,nominal_count,members,success,completion_policy_steps
trajectory-063,6,sha256:3d019c0aa2cfc2ea5d7cc5a49fc727bcb0dd0c6164a273733a6c47f21db80e43,22808087845754c26e699e1543e7e44f77a8645faaaf5c495953d31c39a1fdfd,1,"[[3,101]]",False,
trajectory-064,6,sha256:5226a0b88202091bea5c3764710e204eb054b3a8bc9d93ea84cc31b0840e3ed0,c8e0af10200fa783e0b0a18c3fe13dd0a9a4e9d21d60d4fd1a511c4eb62c7b2a,1,"[[6,101]]",True,436
trajectory-065,6,sha256:533340bd717874417ec05cd3d626b05c9464795440da917ce21e8a0a6fc50f72,1b84df7f944f768c715f24bf3c42ab74f3b2d7ef0f2849b796be2ec44b8565a5,1,"[[0,101]]",False,
trajectory-066,6,sha256:602ccd5d05a156d926e058b26858a9b05931bd63b2fbf9ab33137d5599c9662b,7caaeaf0badf9b7f49480631d354d122931200bce0de4e48c9baa07f1830a35d,1,"[[7,101]]",True,249
trajectory-067,6,sha256:606fa88e4dcd86bf0c84c6c2954eb002166e93037b39e7ed893f0c41e7a15577,b725ef42f4c76808b4f6c7811c92bb390ed0df4f71d49afe3f76539b825f471e,1,"[[1,101]]",False,
trajectory-068,6,sha256:872632a4cac778497e06fa377164090997928a7b5bfb7783d112807e03c5fa99,03df31ca0f530e316aabb1e5231b763b20086812de5da2f78f7eaf930ff04b14,1,"[[2,101]]",False,
trajectory-069,6,sha256:aa1965fc15a74facf7c57e306316cd71c2422242a2c2ec69bac3c6c27c177f3d,f243148a8ffb47866c0766666001f4a2f6814cac51c312b291c22735884ba47a,1,"[[8,101]]",True,201
trajectory-070,6,sha256:b0fe30015c5ff58f4b9263d20fdfb51c6a5502097b37ce75a34fb44ce7ba4fbd,3845a615f46f0dd2ef4fb8d79a8ba92c022f52492b66225bb030708f71b7424d,1,"[[4,101]]",True,253
trajectory-071,7,sha256:19713eb7d8beccb704465ab424f6f64b2c31bc3647940da21ace4d6236906c18,3a3796c7545416d35564deea55558e5f7954805e96019b568db1feb6c8255139,1,"[[9,101]]",False,
trajectory-072,7,sha256:2db87b246d8673f01a074e601fc9ac8aa3d13b99f0255403a0a082a4ef3b0db6,6ad92472d39593e7669d6dbaf95215c1b6fc32708aba6b4240aadbb8de3330bd,1,"[[8,101]]",True,256
