case_id,family,arm,common_input_bytes,contract_bytes,wire_request_bytes,oracle_proposal_bytes,request_plus_oracle_proposal_bytes,common_input_sha256,contract_sha256,provider_calls
continuity_invalid,continuity,compact_tx,3308,1512,5581,1264,6845,32530bcab41bf163fd5561c1deb83525e4005b6fd6d3e55066d98da3e0bd014e,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
continuity_invalid,continuity,fsr_pc,3308,711,4743,1704,6447,32530bcab41bf163fd5561c1deb83525e4005b6fd6d3e55066d98da3e0bd014e,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
cancel_sibling,cancellation,cope,3173,873,4819,173,4992,6d777667dbc9742600e9760bed19a72bc1d1e6331cbc3db807a39d0a130a9614,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
cancel_sibling,cancellation,compact_tx,3173,1512,5434,542,5976,6d777667dbc9742600e9760bed19a72bc1d1e6331cbc3db807a39d0a130a9614,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
cancel_sibling,cancellation,fsr_pc,3173,711,4596,1101,5697,6d777667dbc9742600e9760bed19a72bc1d1e6331cbc3db807a39d0a130a9614,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
activate_override,override,cope,3220,873,4872,203,5075,c6f6ecff1a47809137fa3fc0647d3c30261dc2e36ccd6c5aa79c45d02998d241,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
activate_override,override,compact_tx,3220,1512,5487,1105,6592,c6f6ecff1a47809137fa3fc0647d3c30261dc2e36ccd6c5aa79c45d02998d241,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
activate_override,override,fsr_pc,3220,711,4649,1546,6195,c6f6ecff1a47809137fa3fc0647d3c30261dc2e36ccd6c5aa79c45d02998d241,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
release_override,release,cope,3487,873,5173,201,5374,d0d5e51d257d41dd08a966df2caba035757c94d2e2466257dcee8e8cc180319c,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
release_override,release,compact_tx,3487,1512,5788,862,6650,d0d5e51d257d41dd08a966df2caba035757c94d2e2466257dcee8e8cc180319c,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
release_override,release,fsr_pc,3487,711,4950,1602,6552,d0d5e51d257d41dd08a966df2caba035757c94d2e2466257dcee8e8cc180319c,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
world_change_release,release_world_change,cope,3585,873,5283,205,5488,d113a5f58ba69306957f5df7bafc50c964ba2cd9b59f1d013e28d18284bbfac3,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
world_change_release,release_world_change,compact_tx,3585,1512,5898,1045,6943,d113a5f58ba69306957f5df7bafc50c964ba2cd9b59f1d013e28d18284bbfac3,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
world_change_release,release_world_change,fsr_pc,3585,711,5060,1644,6704,d113a5f58ba69306957f5df7bafc50c964ba2cd9b59f1d013e28d18284bbfac3,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
stale_version,version,cope,3171,873,4817,122,4939,8b96f7f9e9b2b42b559c880c033f1faa34d92ccedfb0c283a6bc6e75f8bdc3d1,a2806227d860c323cc3c4e2f7a9f16395c3f5ef52f47c7e4aafef8ad66841758,0
stale_version,version,compact_tx,3171,1512,5432,114,5546,8b96f7f9e9b2b42b559c880c033f1faa34d92ccedfb0c283a6bc6e75f8bdc3d1,383666fa7855524e10ea29f855541dbeef8e23eed0c207e8296212110f935680,0
stale_version,version,fsr_pc,3171,711,4594,1259,5853,8b96f7f9e9b2b42b559c880c033f1faa34d92ccedfb0c283a6bc6e75f8bdc3d1,681e8b8cea9dfd6bc9aed15c56391dd132a3c8d0f5eb54ccf85c1614701c3478,0
